No,Student ID,Password,Last Name,First Name,Gender,Date Of Birth,Social ID,Classes,Class ID,School year
1,22110025,678910,Ngo Duc,Minh,Nam,6/21/2004,95824835453,Toan hoc,22TH03,2022
2,22110027,678910,Tran Thanh,Nhan,Nam,3/21/2004,90603379104,Toan hoc,22TH03,2022
3,22124001,678910,Nguyen Thi Thu,Hang,Nu,11/3/2004,65830986212,Sinh hoc,22CNSH1,2022
4,22124005,678910,Tran Luu Duc,Hien,Nu,5/15/2004,65030971041,Sinh hoc,22CNSH1,2022
5,22145001,678910,Tran Nguyen Thien,Bao,Nu,2/18/2004,33279090619,Ky thuat dien tu - vien thong,22KTDT1,2022
6,22145007,678910,Tran Anh,Dung,Nam,5/28/2004,47862254532,Ky thuat dien tu - vien thong,22KTDT1,2022
7,22124010,678910,Le Truc,Nhi,Nam,8/14/2004,39663292520,Dia chat hoc,22DCH01,2022
8,22124013,678910,Mai Xuan,Nhut,Nu,8/3/2004,37565681106,Dia chat hoc,22DCH01,2022
9,22154015,678910,Nguyen Khanh,Huy,Nu,1/7/2004,16394273829,Cong nghe thong tin,22CTT02,2022
10,22154005,678910,Nguyen Thi Thuy,Binh,Nam,12/31/2004,80422927314,Cong nghe thong tin,22CTT01,2022
