No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22124001,Nguyen Thi Thu,Hang,Nu,11/3/2004,065830986212
2,22124002,Tang Minh,Hau,Nam,2/19/2004,024105933172
3,22124003,Vo Kim,Hau,Nu,2/11/2004,053693610349
4,22124004,Nguyen Thi Thu,Hien,Nam,9/9/2004,053698445796
5,22124005,Tran Luu Duc,Hien,Nu,5/15/2004,065030971041
6,22124006,Truong Ha Khai,Hoan,Nam,2/16/2004,025111573847
7,22124007,Tran Minh,Hoang,Nu,5/5/2004,033259573199
8,22124008,Ngu The,Hung,Nam,8/3/2004,088867860633
9,22124009,Ho Thuy Thien,Huong,Nu,7/5/2004,083381306492
10,22124010,Huynh Ngoc Thien,Huong,Nam,10/28/2004,023041835801
11,22124011,Nguyen Vo Hoang Van,Huu,Nam,5/24/2004,053023531034
12,22124012,Huynh Quoc,Huy,Nu,2/28/2004,054581782659
13,22124013,Luu Gia,Huy,Nam,5/4/2004,089216688327
14,22124014,Chau Hoang Le,Huyen,Nu,10/25/2004,037942299878
