No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22154001,Nguyen Huu,An,Nam,8/1/2004,036870082673
2,22154002,Tran Thi Kim,Anh,Nu,1/15/2004,077752208359
3,22154003,Vu Thi Phuong,Anh,Nam,6/3/2004,093733942222
4,22154004,Vo Hoang Gia,Bao,Nu,4/30/2004,065234420718
5,22154005,Nguyen Thi Thuy,Binh,Nam,12/31/2004,080422927314
6,22154006,Nguyen Than,Dac,Nu,1/29/2004,078911557415
7,22154007,Tran Ngoc Kim,Dung,Nam,2/9/2004,059517600875
8,22154008,Do Vu Anh,Duong,Nu,10/18/2004,091325070676
9,22154009,Pham Thi My,Duyen,Nam,5/6/2004,033614442799
10,22154010,Tran Thi My,Duyen,Nam,7/10/2004,038501257128
11,22154011,Le Kha,Ghi,Nu,1/18/2004,017882293730
12,22154012,Nguyen Ngoc Quynh,Han,Nam,7/28/2004,055377737854
13,22154013,Tran Thu,Hang,Nu,7/21/2004,041822009907
