No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22240013,Le Diem,Quynh,Nu,9/15/2004,047391327267
2,22240014,Pham Kim,Thao,Nam,7/22/2004,037178185644
3,22240015,Pham Thanh,Thao,Nu,10/27/2004,054533868333
4,22240016,Vu Thanh,Thao,Nam,1/20/2004,013537415512
5,22240017,Nguyen Phuc,Thien,Nu,8/23/2004,070772215754
6,22240018,Tran Vuong Thien,Tai,Nam,9/5/2004,094808417308
7,22240019,Sy Huu,Thong,Nu,5/17/2004,022354226125
8,22240020,Nguyen Ngoc Minh,Thu,Nam,12/23/2004,017655166062
9,22240021,Nguyen Dinh Uyen,Thy,Nam,7/5/2004,017711646913
10,22240022,Phan Nguyen Thanh,Truc,Nu,6/21/2004,080555604738
11,22240023,Nguyen Doanh Xuan,Tuyet,Nam,5/26/2004,053698091924
12,22240024,Vo Hoang Phuong,Uyen,Nu,1/21/2004,044930679812
13,22240025,Pham Vo Thuy,Vy,Nam,3/26/2004,023376323243
14,22240026,Ha My,Xuyen,Nu,12/29/2004,095995975171
