No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22133014,Nguyen Quang,Tuan,Nam,5/10/2004,066130918138
2,22133015,Mai Quoc,Tung,Nu,4/9/2004,029338414630
3,22133016,Lam Boi,Tuyen,Nam,2/8/2004,061607452457
4,22133017,Luong Ngoc,Tuyen,Nu,8/3/2004,036895166568
5,22133018,Tran Ngoc Thanh,Tuyen,Nam,1/11/2004,038255733372
6,22133019,Nguyen Thi Anh,Tuyet,Nu,3/12/2004,037735836483
7,22133020,Mai Hoang Hai,Uyen,Nam,3/3/2004,080998996267
8,22133021,Nguyen Thi Phuong,Uyen,Nam,8/31/2004,089138260379
9,22133022,Nguyen Tram Vu,Uyen,Nu,2/28/2004,046715545005
10,22133023,Thai,Viet,Nam,2/16/2004,025083540805
11,22133024,Tran Kien,Vinh,Nu,5/9/2004,051811204263
