No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22110001,Pham Quoc,Anh,Nam,2/10/2004,019579923035
2,22110002,Le Hoang,Bao,Nu,4/13/2004,073518051243
3,22110003,Nguyen Quy,Cong,Nam,8/27/2004,080916650842
4,22110004,Nguyen Duc,Cuong,Nu,3/29/2004,080323527956
5,22110005,Nguyen Ngoc Trang,Dai,Nam,2/13/2004,044951129343
6,22110006,Dinh Viet,Dat,Nu,3/6/2004,052285616274
7,22110007,Tran Ngoc,De,Nam,1/16/2004,076675297239
8,22110008,Pham Ngo Ngoc,Diep,Nu,12/1/2004,063818727856
9,22110009,Huynh Tieu,Dung,Nam,1/19/2004,012282149288
10,22110010,Vo Tan,Duy,Nu,7/31/2004,074195120240
11,22110011,Do Thanh,Hang,Nam,11/30/2004,053134172550
12,22110012,Dang Thi Thu,Hien,Nam,8/23/2004,017362009363
