No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22165001,Mai Ba,An,Nu,11/8/2004,019784608836
2,22165002,Nguyen Thien,An,Nam,2/1/2004,088471803941
3,22165003,Cao Tien,Dat,Nu,11/2/2004,085016072493
4,22165004,Le Quoc,Duy,Nam,10/30/2004,047473682700
5,22165005,Le Thi Thuy,Ha,Nu,3/25/2004,089778718880
6,22165006,Nguyen Thi,Hien,Nam,4/4/2004,037313217076
7,22165007,Tran Kien,Hoa,Nu,4/27/2004,065742842098
8,22165008,Nguyen Thi Hoai,Huong,Nam,1/6/2004,037783550813
9,22165009,Tran Nguyen Quang,Huy,Nu,12/6/2004,076135689026
10,22165010,Duong Minh,Khang,Nam,11/17/2004,077316347961
11,22165011,Le Hoang Dang,Khoa,Nam,3/9/2004,056046438965
12,22165012,Luu Quoc,Minh,Nu,2/18/2004,093369275347
13,22165013,Tran Khoi,Nguyen,Nam,1/15/2004,074574640915
