No,Student ID,Password,Last Name,First Name,Gender,Date Of Birth,Social ID,Classes,Class ID,School year
1,22240001,678910,Huynh Dinh Gia,An,Nam,02/07/2004,020293440902,Hoa hoc,22HOH1,2022
2,22240002,678910,Quan Vu Hoang,Anh,Bede,04/22/2005,014317576540,Hoa hoc,22HOH1,2022
3,22240003,678910,Nguyen Truong Ngoc,Anh,Nam,02/09/2004,053615009581,Hoa hoc,22HOH1,2022
4,22240004,678910,Nguyen Thuc Luong,Binh,Nu,08/27/2004,085325099855,Hoa hoc,22HOH1,2022
5,22240005,678910,Nguyen Thanh,Cong,Nam,11/30/2004,058956358790,Hoa hoc,22HOH1,2022
6,22240006,678910,Do Thanh,Danh,Nu,01/26/2004,085023859020,Hoa hoc,22HOH1,2022
7,22240007,678910,Dam Chanh,Dong,Nam,10/23/2004,098455441429,Hoa hoc,22HOH1,2022
8,22240008,678910,Cung Kim,Giau,Nu,08/18/2004,014624543800,Hoa hoc,22HOH1,2022
9,22240009,678910,Nguyen Thi Thu,Ha,Nam,07/19/2004,069018398785,Hoa hoc,22HOH1,2022
10,22240010,678910,Pham Thanh,Hoa,Nu,05/11/2004,053494986469,Hoa hoc,22HOH1,2022
11,22240011,678910,Phan Tan,Hung,Nam,08/07/2004,036334608633,Hoa hoc,22HOH1,2022
12,22240012,678910,Nguyen Thi Kim,Huy,Nam,09/13/2004,086940288993,Hoa hoc,22HOH1,2022
13,22240013,678910,Le Diem,Quynh,Nu,09/15/2004,047391327267,Hoa hoc,22HOH2,2022
14,22240014,678910,Pham Kim,Thao,Nam,07/22/2004,037178185644,Hoa hoc,22HOH2,2022
15,22240015,678910,Pham Thanh,Thao,Nu,10/27/2004,054533868333,Hoa hoc,22HOH2,2022
16,22240016,678910,Vu Thanh,Thao,Nam,01/20/2004,013537415512,Hoa hoc,22HOH2,2022
17,22240017,678910,Nguyen Phuc,Thien,Nu,08/23/2004,070772215754,Hoa hoc,22HOH2,2022
18,22240018,678910,Tran Vuong Thien,Tai,Nam,09/05/2004,094808417308,Hoa hoc,22HOH2,2022
19,22240019,678910,Sy Huu,Thong,Nu,05/17/2004,022354226125,Hoa hoc,22HOH2,2022
20,22240020,678910,Nguyen Ngoc Minh,Thu,Nam,12/23/2004,017655166062,Hoa hoc,22HOH2,2022
21,22240021,678910,Nguyen Dinh Uyen,Thy,Nam,07/05/2004,017711646913,Hoa hoc,22HOH2,2022
22,22240022,678910,Phan Nguyen Thanh,Truc,Nu,06/21/2004,080555604738,Hoa hoc,22HOH2,2022
23,22240023,678910,Nguyen Doanh Xuan,Tuyet,Nam,05/26/2004,053698091924,Hoa hoc,22HOH2,2022
24,22240024,678910,Vo Hoang Phuong,Uyen,Nu,01/21/2004,044930679812,Hoa hoc,22HOH2,2022
25,22240025,678910,Pham Vo Thuy,Vy,Nam,03/26/2004,023376323243,Hoa hoc,22HOH2,2022
26,22240026,678910,Ha My,Xuyen,Nu,12/29/2004,095995975171,Hoa hoc,22HOH2,2022
27,22133001,678910,Do Nguyen Huong,Giang,Nu,12/21/2004,021967992599,Khoa hoc moi truong,22KHMT1,2022
28,22133002,678910,Pham Nguyen Anh,Thu,Nam,03/30/2004,064036592339,Khoa hoc moi truong,22KHMT1,2022
29,22133003,678910,Huynh Le Minh,Kha,Nu,07/02/2004,038867298296,Khoa hoc moi truong,22KHMT1,2022
30,22133004,678910,Nguyen Duc,Nguyen,Nam,05/30/2004,049921958040,Khoa hoc moi truong,22KHMT1,2022
31,22133005,678910,Le Vo Hoang Thanh,An,Nu,11/09/2004,083178534707,Khoa hoc moi truong,22KHMT1,2022
32,22133006,678910,Nguy Van,Anh,Nam,05/19/2004,041297623687,Khoa hoc moi truong,22KHMT1,2022
33,22133007,678910,Nguyen Thi Lan,Anh,Nam,02/15/2004,019039747918,Khoa hoc moi truong,22KHMT1,2022
34,22133008,678910,Tran Thi Phuong,Anh,Nu,05/29/2004,033226923084,Khoa hoc moi truong,22KHMT1,2022
35,22133009,678910,Vo Quang,Anh,Nam,06/13/2004,022873691930,Khoa hoc moi truong,22KHMT1,2022
36,22133010,678910,Vu Que,Anh,Nu,08/07/2004,094985739994,Khoa hoc moi truong,22KHMT1,2022
37,22133011,678910,Nguyen Ngoc Hoai,Bao,Nam,08/18/2004,059117510279,Khoa hoc moi truong,22KHMT1,2022
38,22133012,678910,Le Minh,Chien,Nu,10/27/2004,046633496616,Khoa hoc moi truong,22KHMT1,2022
39,22133013,678910,Tran Anh Hai,Dang,Nam,08/28/2004,020813896422,Khoa hoc moi truong,22KHMT1,2022
40,22133014,678910,Nguyen Quang,Tuan,Nam,05/10/2004,066130918138,Khoa hoc moi truong,22KHMT2,2022
41,22133015,678910,Mai Quoc,Tung,Nu,04/09/2004,029338414630,Khoa hoc moi truong,22KHMT2,2022
42,22133016,678910,Lam Boi,Tuyen,Nam,02/08/2004,061607452457,Khoa hoc moi truong,22KHMT2,2022
43,22133017,678910,Luong Ngoc,Tuyen,Nu,08/03/2004,036895166568,Khoa hoc moi truong,22KHMT2,2022
44,22133018,678910,Tran Ngoc Thanh,Tuyen,Nam,01/11/2004,038255733372,Khoa hoc moi truong,22KHMT2,2022
45,22133019,678910,Nguyen Thi Anh,Tuyet,Nu,03/12/2004,037735836483,Khoa hoc moi truong,22KHMT2,2022
46,22133020,678910,Mai Hoang Hai,Uyen,Nam,03/03/2004,080998996267,Khoa hoc moi truong,22KHMT2,2022
47,22133021,678910,Nguyen Thi Phuong,Uyen,Nam,08/31/2004,089138260379,Khoa hoc moi truong,22KHMT2,2022
48,22133022,678910,Nguyen Tram Vu,Uyen,Nu,02/28/2004,046715545005,Khoa hoc moi truong,22KHMT2,2022
49,22133023,678910,Thai,Viet,Nam,02/16/2004,025083540805,Khoa hoc moi truong,22KHMT2,2022
50,22133024,678910,Tran Kien,Vinh,Nu,05/09/2004,051811204263,Khoa hoc moi truong,22KHMT2,2022
51,22154001,678910,Nguyen Huu,An,Nam,08/01/2004,036870082673,Cong nghe thong tin,22CTT01,2022
52,22154002,678910,Tran Thi Kim,Anh,Nu,01/15/2004,077752208359,Cong nghe thong tin,22CTT01,2022
53,22154003,678910,Vu Thi Phuong,Anh,Nam,06/03/2004,093733942222,Cong nghe thong tin,22CTT01,2022
